feature,r
terms_abstract_tfidf__001,0.03210014187824375
terms_abstract_tfidf__01,-0.06559756900489357
terms_abstract_tfidf__05,-0.02955623249478016
terms_abstract_tfidf__10,-0.032503539045346044
terms_abstract_tfidf__100,-0.02947812075088062
terms_abstract_tfidf__11,-0.021296916599692153
terms_abstract_tfidf__12,-0.002335263990866395
terms_abstract_tfidf__12 healthy,0.06723637996183282
terms_abstract_tfidf__13,0.00026697685120531423
terms_abstract_tfidf__14,0.008120556528566605
terms_abstract_tfidf__14 healthy,-0.039638592112198785
terms_abstract_tfidf__15,0.026957351576172708
terms_abstract_tfidf__15 healthy,0.04069496559344445
terms_abstract_tfidf__16,-0.017887134995436642
terms_abstract_tfidf__16 healthy,0.012940265419502538
terms_abstract_tfidf__17,-0.07305124391681964
terms_abstract_tfidf__18,-0.05537892075947553
terms_abstract_tfidf__18 healthy,0.031787431946270685
terms_abstract_tfidf__19,-0.04006695965842412
terms_abstract_tfidf__20,-0.03268303712822947
terms_abstract_tfidf__20 healthy,-0.023145446883118686
terms_abstract_tfidf__200,-0.0040061738359544056
terms_abstract_tfidf__2014,-0.0021579617792165605
terms_abstract_tfidf__21,-0.03632624499388863
terms_abstract_tfidf__22,-0.021714959246917076
terms_abstract_tfidf__23,-0.01883643280925694
terms_abstract_tfidf__24,-0.016609629954798387
terms_abstract_tfidf__25,-0.029832052987548777
terms_abstract_tfidf__26,-0.08447134639371531
terms_abstract_tfidf__27,-0.0935490881439556
terms_abstract_tfidf__28,-0.0022673510943249675
terms_abstract_tfidf__29,-0.09006289186529826
terms_abstract_tfidf__30,-0.03739114351762089
terms_abstract_tfidf__31,-0.05439232058211801
terms_abstract_tfidf__32,-0.03969039776325031
terms_abstract_tfidf__33,-0.02394468018946411
terms_abstract_tfidf__34,-0.01904359707410425
terms_abstract_tfidf__35,0.042178471037110275
terms_abstract_tfidf__36,0.014106176801734918
terms_abstract_tfidf__37,0.022821231387482276
terms_abstract_tfidf__38,-0.0004411558299614566
terms_abstract_tfidf__39,-0.06754514835024117
terms_abstract_tfidf__3d,-0.06305583162106823
terms_abstract_tfidf__3t,0.0047717606687888
terms_abstract_tfidf__40,-0.012523375170560234
terms_abstract_tfidf__41,-0.038609452018943974
terms_abstract_tfidf__42,-0.0408791593780701
terms_abstract_tfidf__43,-0.03970422466802858
terms_abstract_tfidf__44,0.07997904920061505
terms_abstract_tfidf__45,0.03742718770470281
terms_abstract_tfidf__46,0.054380229070030935
terms_abstract_tfidf__47,0.0017911531532816926
terms_abstract_tfidf__48,-0.0012894531379835465
terms_abstract_tfidf__49,5.009161050960628e-06
terms_abstract_tfidf__50,0.04567604037861838
terms_abstract_tfidf__60,0.0028123137472212695
