feature,r
terms_abstract_tfidf__001,-0.024846999041848925
terms_abstract_tfidf__01,-0.00498119446533291
terms_abstract_tfidf__05,0.042620872099569156
terms_abstract_tfidf__10,0.018910224650636045
terms_abstract_tfidf__100,0.006478242447671775
terms_abstract_tfidf__11,0.044444709977742594
terms_abstract_tfidf__12,0.013946244875177085
terms_abstract_tfidf__12 healthy,-0.0015093639330594254
terms_abstract_tfidf__13,0.018319192316179223
terms_abstract_tfidf__14,-0.00565385542514664
terms_abstract_tfidf__14 healthy,0.000657543278587504
terms_abstract_tfidf__15,0.0500457651290694
terms_abstract_tfidf__15 healthy,0.007433389296201539
terms_abstract_tfidf__16,-0.007999583022987677
terms_abstract_tfidf__16 healthy,-0.028271663243938185
terms_abstract_tfidf__17,-0.02644575048005671
terms_abstract_tfidf__18,-0.012981142368061992
terms_abstract_tfidf__18 healthy,0.007370286971096006
terms_abstract_tfidf__19,-0.0813936314429336
terms_abstract_tfidf__20,-0.0611651256969504
terms_abstract_tfidf__20 healthy,-0.08090829849533868
terms_abstract_tfidf__200,0.05872929245930421
terms_abstract_tfidf__2014,-0.04780174046444328
terms_abstract_tfidf__21,0.0041764766078286825
terms_abstract_tfidf__22,-0.01062231543646996
terms_abstract_tfidf__23,-0.03647437364911978
terms_abstract_tfidf__24,-0.017941690746079007
terms_abstract_tfidf__25,-0.058508551996824316
terms_abstract_tfidf__26,0.021286907503161773
terms_abstract_tfidf__27,-0.020619482422885728
terms_abstract_tfidf__28,0.01814364503407037
terms_abstract_tfidf__29,-0.02708597237376394
terms_abstract_tfidf__30,0.014177303229584342
terms_abstract_tfidf__31,-0.02978624366999143
terms_abstract_tfidf__32,-0.05048984985481506
terms_abstract_tfidf__33,0.01812780327827892
terms_abstract_tfidf__34,-0.044932521437932874
terms_abstract_tfidf__35,-0.017242672078580382
terms_abstract_tfidf__36,0.06349709638533552
terms_abstract_tfidf__37,0.045301885837228766
terms_abstract_tfidf__38,0.011732632480777211
terms_abstract_tfidf__39,-0.03498965835534663
terms_abstract_tfidf__3d,-0.03220408294875458
terms_abstract_tfidf__3t,0.01225904740392502
terms_abstract_tfidf__40,0.027943089452883003
terms_abstract_tfidf__41,0.03209957396330835
terms_abstract_tfidf__42,0.03074625334857343
terms_abstract_tfidf__43,0.04206775666288644
terms_abstract_tfidf__44,0.09162831780795842
terms_abstract_tfidf__45,0.08386983918949745
terms_abstract_tfidf__46,0.02485416035658664
terms_abstract_tfidf__47,0.05433260333155916
terms_abstract_tfidf__48,0.0027506702953331097
terms_abstract_tfidf__49,-0.006270563352150431
terms_abstract_tfidf__50,-0.0052553443650033916
terms_abstract_tfidf__60,0.039417850301307775
terms_abstract_tfidf__70,-0.022739370092002956
terms_abstract_tfidf__75,-0.02712068106382472
terms_abstract_tfidf__80,0.022860290032990626
terms_abstract_tfidf__90,-0.046618485442596266
terms_abstract_tfidf__aberrant,-0.07580595258336514
terms_abstract_tfidf__abilities,0.02551823563559227
terms_abstract_tfidf__ability,0.06014443661819552
terms_abstract_tfidf__able,0.04371473972628109
terms_abstract_tfidf__abnormal,-0.05317507214977328
terms_abstract_tfidf__abnormalities,-0.04110973629362295
terms_abstract_tfidf__abnormality,0.029300186547009992
terms_abstract_tfidf__absence,0.01642046698295048
terms_abstract_tfidf__absent,0.04896545228485832
terms_abstract_tfidf__abstract,0.023328485727584097
terms_abstract_tfidf__abuse,-0.05823970248949514
