Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
pTHA-rh,0.178655216704306,0.0419045579961988,0.00497425613227104,Decrease
aTHA-rh,0.174272934401587,-0.0214850780983243,0.00323230736687111,Decrease
GP-rh,0.0603843684163892,-0.051802815242155,0.0339441358088015,Decrease
CAU-rh,0.106866429841748,-0.0477129324898086,0.00850167838327405,Decrease
pTHA-lh,0.182845992996984,0.0242988689118662,0.00588545055861811,Decrease
aTHA-lh,0.168452729349237,-0.0139695255590334,0.00323230736687111,Decrease
GP-lh,0.104798827046932,-0.0300552908324297,0.00788039272401456,Decrease
PUT-lh,0.113544469777636,-0.0286670193230369,0.0147188400641926,Decrease
CAU-lh,0.108046750401955,-0.0464275450836195,0.0108180109161465,Decrease
VisCent,0.315221393927615,-0.0476801978499697,0.000464042131700752,Decrease
VisPeri,0.261707751120051,-0.0400633566526925,0.000599497937637822,Decrease
SomMot A,0.248193451042286,-0.0186272507605359,0.000464042131700752,Decrease
DorsAttn A,0.296495856359462,0.0739572737647829,0.00876930132564283,Decrease
DorsAttn B,0.297769308334315,0.0910055565843303,0.00697518440507291,Decrease
SalVentAttn A,0.112394921541784,-0.000775270506489182,0.0409608468535063,Decrease
Cont A,-0.102081964033238,0.0186915967480734,0.0108180109161465,Increase
Cont B,0.34183500733946,0.0526341335901768,2.03400732042952e-05,Decrease
Cont C,-0.199437403090849,-0.00275200450673807,0.00323230736687111,Increase
Default A,-0.257874610574855,0.0309672327813026,0.000464042131700752,Increase
Default C,-0.254652907637809,-0.0460351989114085,0.00323230736687111,Increase
TempPar,-0.245310196778863,0.00796284605835578,0.000464042131700752,Increase
